bhk,price,size,location
2,51.9,900,BELTOLA
3,60.6,809,PANJABARI
3,62.4,1200,LALMATI
4,95.5,1988,KAHILIPARA
3,50,1000,KAHILIPARA
2,42,800,KAHILIPARA
2,53.9,1036,LALMATI
3,67.6,936,SIX MILE
3,73,916,RUKMINI GAON
2,59,1282,GUWAHATI
2,36.5,653,BIRUBARI
2,55,1100,PANJABARI BUS STAND
2,35,650,KALA PAHAR
1,25,330,PRAGJYOTISH NAGAR
3,84,1200,GEETANAGAR
2,37,550,BARSAPARA
3,60,1400,HATIGAON
3,95,1563,BHANGAGARH
3,60,1180,KAHILIPARA
4,140,1700,SIX MILE
3,66,1264,PANJABARI
3,45,1000,KAHILIPARA
3,80,1280,LAKHIMI NAGAR
3,96.5,1755,AMBIKAGIRINAGAR
2,50,700,LAKHIMI NAGAR
3,82.2,1580,VIP ROAD
3,71.6,1100,PANJABARI
2,45,950,DOWNTOWN
2,57,1076,BAGHARBARI
2,45,942,HATIGAON
3,50.8,750,BARSAPARA
3,65,1000,SIX MILE
3,100,2400,GUWAHATI
3,98,1540,GANDHI BASTI
3,70,1230,BELTOLA
3,63,1100,TETELIA
3,70,1100,SARABBHATI
3,62.7,1130,SIX MILE
3,77.8,1000,BAMUNIMAIDAM
2,70,1250,UZAN BAZAR
3,70,1368,GUWAHATI
2,31,713,JYOTIKUCHI
2,51.5,850,SIX MILE
3,45,1000,BHETAPARA
2,38,800,BHETAPARA
3,95.5,1540,BHARALUMUKH
4,140,1820,SARABBHATI
2,29,670,KAHILIPARA
3,61,1275,9TH MILE
3,72.8,1415,LALMATI
2,45,799,PATOR KUCHI
3,130,1450,PAN BAZAR
3,60.6,931,BETKUCHI
1,17.4,282,9TH MILE
2,52,1060,SIX MILE
2,44,1053,MALIGAON
3,44,792,LAL GANESH
3,59,1420,MALIGAON
2,56.1,980,DATALPARA
3,60.8,1012,GANDHI BASTI
2,49.5,825,DISPUR
2,28.8,800,ADAGUDAM
3,69.7,1499,LAKHIMI NAGAR
2,42.2,960,ZOO ROAD
2,45.1,784,JAPORIGOG
